Label	Weight	Text
q_MicrosoftStoreFAQ	1	How long does the Surface Book 2 last
q_MicrosoftStoreFAQ	1	What size is Surface Go’s display
q_MicrosoftStoreFAQ	1	How much does a Surface Book 2 cost
q_MicrosoftStoreFAQ	1	How much does a Surface Go cost
q_MicrosoftStoreFAQ	1	Can you download apps on Surface Laptop 2
q_MicrosoftStoreFAQ	1	Can the Surface Book 2 run games
q_MicrosoftStoreFAQ	1	What size is Surface Laptop 2’s display
q_MicrosoftStoreFAQ	1	Does Surface Laptop run Windows 10
q_MicrosoftStoreFAQ	1	Does Surface Book 2 need antivirus
q_MicrosoftStoreFAQ	1	Can you download apps on Surface Go
q_MicrosoftStoreFAQ	1	What is the company that makes Surface Go
q_MicrosoftStoreFAQ	1	What is the default Surface Laptop 2 display scaling
q_MicrosoftStoreFAQ	1	How do I reset my Surface Go
q_MicrosoftStoreFAQ	1	How long does the Surface Go last
q_MicrosoftStoreFAQ	1	Is Surface Go 64-bit
q_MicrosoftStoreFAQ	1	Is Surface Book 2 a tablet or a laptop
q_MicrosoftStoreFAQ	1	What is the resolution of Surface Go
q_MicrosoftStoreFAQ	1	What are the dimensions of the Surface Laptop 2
q_MicrosoftStoreFAQ	1	Is Microsoft Office free on Surface Book 2
q_MicrosoftStoreFAQ	1	Is Surface Laptop 2 64-bit
q_MicrosoftStoreFAQ	1	Does Surface Go need a screen protector
q_MicrosoftStoreFAQ	1	What is the aspect ratio of Surface Laptop 2
q_MicrosoftStoreFAQ	1	How much does a Surface Laptop 2 cost
q_MicrosoftStoreFAQ	1	Can Microsoft Surface Laptop 2 run Photoshop
q_MicrosoftStoreFAQ	1	Can you code or programming on Surface Laptop 2
q_MicrosoftStoreFAQ	1	Can I charge my Surface Book 2’s tablet section alone
q_MicrosoftStoreFAQ	1	Can I charge my Surface Book 2 base alone
q_MicrosoftStoreFAQ	1	What is the company that makes Surface Book 2
q_MicrosoftStoreFAQ	1	What is the battery capacity of Microsoft Surface Laptop
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 include pen
q_MicrosoftStoreFAQ	1	Can the Surface Laptop 2 run games
q_MicrosoftStoreFAQ	1	Can you play Fortnite on Surface Go
q_MicrosoftStoreFAQ	1	Is Surface Laptop 2 good for drawing
q_MicrosoftStoreFAQ	1	What is the battery capacity of Microsoft Surface Go
q_MicrosoftStoreFAQ	1	How to turn off S-Mode on Surface Go
q_MicrosoftStoreFAQ	1	Is Surface Book 2 64-bit
q_MicrosoftStoreFAQ	1	How do I charge my Surface Book 2
q_MicrosoftStoreFAQ	1	Is Surface Laptop 2 a tablet or a laptop
q_MicrosoftStoreFAQ	1	What are the dimensions of the Surface Go
q_MicrosoftStoreFAQ	1	How long does the Surface Laptop 2 last
q_MicrosoftStoreFAQ	1	Does Surface Book 2 have a camera
q_MicrosoftStoreFAQ	1	Does Surface Book 2 include pen
q_MicrosoftStoreFAQ	1	What processor is in the Surface Laptop 2
q_MicrosoftStoreFAQ	1	Is the Surface Book 2 fanless
q_MicrosoftStoreFAQ	1	What is Windows 10 in S Mode
q_MicrosoftStoreFAQ	1	How do I reset my Surface Book 2
q_MicrosoftStoreFAQ	1	Does Surface Go include pen
q_MicrosoftStoreFAQ	1	Is Surface Book 2 good for drawing
q_MicrosoftStoreFAQ	1	What is the aspect ratio of Surface Book 2
q_MicrosoftStoreFAQ	1	Can you download apps on Surface Book 2
q_MicrosoftStoreFAQ	1	Does Surface Go run Windows 10
q_MicrosoftStoreFAQ	1	Will Surface Dock work with Surface Book 2
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 need antivirus
q_MicrosoftStoreFAQ	1	What is the company that makes Surface Laptop 2
q_MicrosoftStoreFAQ	1	Is Microsoft Office free on Surface Laptop 2
q_MicrosoftStoreFAQ	1	How much does the Surface Book 2 weight
q_MicrosoftStoreFAQ	1	Can you upgrade RAM on Surface Go
q_MicrosoftStoreFAQ	1	Can I charge Surface Go with USB-C
q_MicrosoftStoreFAQ	1	Can I charge Surface Laptop 2 via USB
q_MicrosoftStoreFAQ	1	Is the Surface Laptop 2 fanless
q_MicrosoftStoreFAQ	1	Can Microsoft Surface Book 2 run Photoshop
q_MicrosoftStoreFAQ	1	Will Surface Dock work with Surface Laptop 2
q_MicrosoftStoreFAQ	1	Will Surface Dock work with Surface Go
q_MicrosoftStoreFAQ	1	Can the Surface Go run games
q_MicrosoftStoreFAQ	1	What are the dimensions of the Surface Book 2
q_MicrosoftStoreFAQ	1	What ports are on the Surface Book 2
q_MicrosoftStoreFAQ	1	How much does the Surface Laptop 2 weight
q_MicrosoftStoreFAQ	1	What processor is in the Surface Book 2
q_MicrosoftStoreFAQ	1	Does the new Surface Laptop 2 come with a keyboard
q_MicrosoftStoreFAQ	1	Is the Surface Go worth it
q_MicrosoftStoreFAQ	1	Is Surface Go good for students
q_MicrosoftStoreFAQ	1	Is Surface Go good for drawing
q_MicrosoftStoreFAQ	1	Can you upgrade RAM on Surface Book 2
q_MicrosoftStoreFAQ	1	When was Surface Laptop 2 release
q_MicrosoftStoreFAQ	1	What is the difference between Surface Book 2 and Surface Book
q_MicrosoftStoreFAQ	1	Will Surface Laptop 2 run Office
q_MicrosoftStoreFAQ	1	Is Surface Laptop 2 good for students
q_MicrosoftStoreFAQ	1	Does Surface Go have a camera
q_MicrosoftStoreFAQ	1	When was Surface Go release
q_MicrosoftStoreFAQ	1	Can I charge Surface Book 2 via USB-C
q_MicrosoftStoreFAQ	1	What is the resolution of Surface Book 2
q_MicrosoftStoreFAQ	1	What is the resolution of Surface Laptop 2
q_MicrosoftStoreFAQ	1	When was Surface Book 2 release
q_MicrosoftStoreFAQ	1	Can you upgrade RAM on Surface Laptop 2
q_MicrosoftStoreFAQ	1	How do I charge my Surface Laptop 2
q_MicrosoftStoreFAQ	1	Does a screen protector reduce the responsiveness of Surface Go
q_MicrosoftStoreFAQ	1	Does Surface Go run full Windows
q_MicrosoftStoreFAQ	1	What is the battery capacity of Microsoft Surface Book 2
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 run full Windows
q_MicrosoftStoreFAQ	1	Does the new Surface Book 2 come with a keyboard
q_MicrosoftStoreFAQ	1	Does Surface Book 2 run Windows 10
q_MicrosoftStoreFAQ	1	Will Surface Book 2 run Office
q_MicrosoftStoreFAQ	1	What ports are on the Surface Go
q_MicrosoftStoreFAQ	1	Does Surface Go come with a keyboard
q_MicrosoftStoreFAQ	1	How do I charge my Surface Go
q_MicrosoftStoreFAQ	1	What size is Surface Book 2’s display
q_MicrosoftStoreFAQ	1	What ports are on the Surface Laptop 2
q_MicrosoftStoreFAQ	1	How do I reset my Surface Laptop 2
q_MicrosoftStoreFAQ	1	How much does the Surface Go weight
q_MicrosoftStoreFAQ	1	What is the difference between Surface Go and Surface 3
q_MicrosoftStoreFAQ	1	Does Surface Book 2 run full Windows
q_MicrosoftStoreFAQ	1	What processor is in the Surface Go
q_MicrosoftStoreFAQ	1	Can you code or programming on Surface Go
q_MicrosoftStoreFAQ	1	What is the default Surface Book 2 display scaling
